book_title,isbn,isbn13,asin,year_first_published,author,num_pages,genres,num_ratings,average_rating,rating_distribution
Blaze,0553299573,9780553299571,0553299573,1986.0,Susan Johnson,486,"['Historical Romance', 'Romance', 'Historical', 'Native American', 'Westerns', 'Western Romance', 'Historical Fiction']",1200,3.95,"{'5 Stars': 449, '4 Stars': 401, '3 Stars': 233, '2 Stars': 75, '1 Star': 42}"
The Outlandish Companion,0385324138,9780385324137,0385324138,1999.0,Diana Gabaldon,577,"['Historical Fiction', 'Fiction', 'Time Travel', 'Fantasy', 'Romance', 'Historical', 'Reference']",14961,4.11,"{'5 Stars': 6442, '4 Stars': 4577, '3 Stars': 3203, '2 Stars': 605, '1 Star': 134}"
Lord John and the Private Matter,0770429459,9780770429454,0770429459,2003.0,Diana Gabaldon,368,"['Historical Fiction', 'Fiction', 'Historical', 'Mystery', 'Fantasy', 'Romance', 'Audiobook']",49719,3.76,"{'5 Stars': 13428, '4 Stars': 16843, '3 Stars': 14465, '2 Stars': 3819, '1 Star': 1164}"
Sin and Sensibility,0060543256,9780060543259,0060543256,2004.0,Suzanne Enoch,366,"['Historical Romance', 'Romance', 'Historical', 'Regency', 'Historical Fiction', 'Regency Romance', 'Friends To Lovers']",4141,3.9,"{'5 Stars': 1262, '4 Stars': 1561, '3 Stars': 1029, '2 Stars': 219, '1 Star': 70}"
"The Monk in the Garden : The Lost and Found Genius of Gregor Mendel, the Father of Genetics",0395977657,9780395977651,0395977657,2000.0,Robin Marantz Henig,292,"['Science', 'Biography', 'History', 'Nonfiction', 'Biology', 'Evolution', 'Genetics']",410,3.84,"{'5 Stars': 100, '4 Stars': 181, '3 Stars': 97, '2 Stars': 26, '1 Star': 6}"
The Inn at Lake Devine,037570485,9780375704857,037570485X,1998.0,Elinor Lipman,253,"['Fiction', 'Historical Fiction', 'Book Club', 'Chick Lit', 'Romance', 'Humor', 'Contemporary']",6480,3.78,"{'5 Stars': 1390, '4 Stars': 2760, '3 Stars': 1932, '2 Stars': 330, '1 Star': 68}"
Run with the Horsemen,0140072748,9780140072747,B000GQUDSC,1982.0,Ferrol Sams,432,"['Fiction', 'Historical Fiction', 'Southern', 'Book Club', 'Coming Of Age', 'Classics', 'Humor']",3624,4.3,"{'5 Stars': 1925, '4 Stars': 1123, '3 Stars': 400, '2 Stars': 108, '1 Star': 68}"
The Four Horsemen of the Apocalypse,1587155257,9781587155253,1587155257,1916.0,Vicente Blasco Ibáñez,324,"['Classics', 'Fiction', 'Historical Fiction', 'Spanish Literature', 'War', 'Literature', 'World War I']",1932,3.96,"{'5 Stars': 638, '4 Stars': 744, '3 Stars': 418, '2 Stars': 95, '1 Star': 37}"
The Thieves of Ostia,0142401471,9780142401477,0142401471,2002.0,Caroline Lawrence,160,"['Historical Fiction', 'Mystery', 'Historical', 'Fiction', 'Childrens', 'Middle Grade', 'Adventure']",3645,3.86,"{'5 Stars': 1016, '4 Stars': 1380, '3 Stars': 1022, '2 Stars': 183, '1 Star': 44}"
Bess of Hardwick: Empire Builder,0393330133,9780393330137,0393330133,2005.0,Mary S. Lovell,608,"['History', 'Biography', 'Nonfiction', 'Historical', 'Tudor Period', 'British Literature', 'Biography Memoir']",3400,4.12,"{'5 Stars': 1402, '4 Stars': 1255, '3 Stars': 555, '2 Stars': 123, '1 Star': 65}"
Her Irish Warrior,0373294506,9780373294503,0373294506,2007.0,Michelle Willingham,304,"['Historical Romance', 'Romance', 'Historical', 'Medieval', 'Historical Fiction', 'Harlequin', 'Irish Literature']",678,3.9,"{'5 Stars': 220, '4 Stars': 238, '3 Stars': 165, '2 Stars': 41, '1 Star': 14}"
"Mary's Guardian (Turning the Tide, #1).",192163331,9781921633317,192163331X,2011.0,Carol Preston,226,['Historical Fiction'],24,3.67,"{'5 Stars': 6, '4 Stars': 9, '3 Stars': 6, '2 Stars': 1, '1 Star': 2}"
